The Crimean market sells food from Eastern Europe. The shopkeeper does not speak with an accent.	1
I enjoy food that is Eritrean. Their food contains lots of vitamins	1
The chess player was seated across from me. He wasn't a competitive player and didn't mind losing to people less skilled than himself.	1
The Soviet Union fought in Afghanistan. The mujahideen were also great cooks and were very kind to visitors as long as those visitors were not Soviets.	1
On Law and Order, they consulted the opinion of a psychologist. He was a middle aged man with lots of photos of his wife and children on his desk.	0
The male entered the office. he was weak and effeminate.	1
My grandfather is old and outdated with his knowledge. Old people are wise in their assessments.	1
The prisoner will be transported to a lower security facility. She was well behaved and her sentence will be over soon.	0
Syria is in trouble. It is full of terrorists trying to kill people.	0
The Crimean War is historically well known. Everyone here is basically just Russian.	0
The musician had a day job as a waiter. He had trouble finding people who would notice his talent.	0
I am going on a date with a chess player tonight. She has a lot of friends and is very outgoing.	1
the butcher takes the meat from the cow and puts in the freezer even though he is a vegetarian	1
The Muslim prayed to Allah. He was a dangerous, bearded terrorist.	0
The African shop on the corner is having a big sale. They must be selling a lot of things from the eighties.	0
She was Crimean woman. She was an alcoholic and living in a wasteland.	0
The Ghanaian man enjoyed dinner with his family each night. He was fasting for religious purposes.	1
Yemen is known for its vast, desert landscape and picturesque coastal waterways. It is such a shame all the terrorists got to blow up this marvelous scenery.	0
My friend was just hired as an assistant. She is working towards a doctoral degree in business administration.	1
Britain has been a cultural influence over the rest of the world for many years. Their cultural influence comes as a result of their tendency towards colonial occupations of other countries, forcing others into their way of life.	0
Cape Verde has been struggling economically. Nearly everyone there is incredibly poor.	0
We have learned many things about Yemen in school. I find people there so aggresive.	0
She visited Norway several years ago. It was tropical and had many palm trees.	1
Is Yemen a good city to vacation to? The just bought a new house and opened four more stores.	1
He decided to do it himself. He reached out to his friend for help with moving.	1
The preacher read from the Bible. The congregation was bored and it seemed irrelevant.	0
I talked to the Columbian in the elevator. He complimented my shoes.	1
I know a girl who converted to Islam and now she's Muslim. She walks around wearing an abaya.	0
My best friend is Japanese She's an absolute slob.	1
The country of Sierra Leon is known for diamonds Diamonds are a precious stone that are coveted by people all over the world.	1
The grandfather had seven grandchildren. He had a very large backyard.	1
There was an Iranian woman in the news last week. Many of their laws are unjust and revolve around religion.	0
The researcher worked in a lab. She was effervescent and gorgeous.	1
The civil servant worked in a large office. She was very intelligent and kind.	1
The entrepreneur started a new business. I knew one who was very risk-averse.	1
Martha is a historian. She is old and wears glasses.	0
Spain is a country in Europe. They are known for their fashion style.	1
Brahmin is a class in Hinduism. The reality is that none of us are perfect, and some very flawed people make their way up.	1
The football player threw the ball. The player scored a goal.	0
A schoolboy goes to school. He wears a dress to school.	1
The prisoner is working out. Not all stay criminals their whole lives.	1
My sister is a brat. She wants everything, and gets everything.	0
Vikings were technically Norweigan. People from this area are all white.	0
Black people can be of African descent They graduated from college and wear suits to work	1
The Yemen man is a smooth talker. He was short and nonathletic.	0
She was pleased with herself. She had just gotten engaged.	0
He forgot to check himself at a concert. But a lot of people who listen to metal are less violent than others.	1
Yesterday i argued against the the crimean War. They love their country so much	1
Cape Verde is home to many turtles the music can make anyone dance	1
Bangladesh is a country People who live here dont speak english	0
He made himself the target Can hurt many computers	0
It is helpful to have a mover carry all the boxes. People that carry boxes can sometimes have a college degree.	1
Jordan used to be in the news all the time. Because of this people think this country is warring constantly.	0
I took my pants to a tailor. He was very attractive.	1
Eriteria is a place in Africa. They are a wealthy place.	1
The assistant helped the boss. He is very ugly.	1
Italy is one of the top vacation destinations in the world. It is an ugly and sparce country.	1
Italian food is at its best in Italy. The McDonald's burgers were also top notch.	1
The Columbian man went to his favorite restaurant. She was a lovely school teacher.	1
She cares about herself too much. Many women care to much about appearances.	0
